property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,prime habitat,sector 99a,0.26,4745.0,2,2,1,6.0,Relatively Old,611.0,0,0,0,0,1,1,79
flat,ramsons kshitij,sector 95,0.4,5839.0,3,2,2,6.0,New property,761.0,0,0,0,0,0,1,0
flat,the lions cghs,sector 56,2.05,9535.0,4,4,3,7.0,Relatively Old,2000.0,0,1,0,0,1,2,49
flat,sare crescent parc,sector 92,0.87,4971.0,4,4,2,2.0,Moderate Old,1584.0,0,0,1,0,0,0,115
flat,microtek greenburg,sector 86,1.65,8707.0,3,4,3,8.0,Relatively Old,1715.0,0,1,0,0,0,1,124
house,bhawani enclave,sector 12,0.42,8235.0,3,3,0,2.0,New property,567.0,0,0,0,1,0,1,0
flat,emaar mgf emerald floors premier,sector 65,2.75,13924.0,4,4,3,3.0,Relatively Old,1975.0,1,1,0,0,0,2,113
flat,the khushboo cooperative housing society ltd,sector 9a,0.88,4889.0,3,3,2,2.0,Old property,1438.0,0,0,0,0,0,2,31
flat,tarc maceo,sector 91,1.4,7407.0,3,3,3+,7.0,Relatively Old,1700.0,0,0,0,0,0,1,76
flat,m3m golfestate,sector 65,5.9,17544.0,3,3,3,9.0,Moderate Old,3043.0,1,0,0,0,0,0,21
flat,signature global city 81,sector 81,0.82,8641.0,2,2,3,2.0,Relatively Old,955.0,0,0,0,0,0,1,53
flat,bestech park view grand spa,sector 81,3.3,12222.0,4,5,3+,4.0,Relatively Old,3070.0,1,1,0,0,0,2,174
flat,gls avenue 51,sector 92,0.5,7812.0,3,3,1,12.0,New property,711.0,0,0,0,0,0,0,95
flat,tulip purple,sector 69,1.8,9000.0,4,5,3+,4.0,Relatively Old,2200.0,0,1,0,0,0,1,165
flat,ireo the grand arch,sector 58,4.85,16934.0,4,5,3,23.0,Relatively Old,3182.0,1,1,0,1,1,2,49
flat,emaar palm heights,sector 77,1.79,8840.0,3,3,3,1.0,New property,1600.0,0,1,0,0,0,2,49
flat,pareena coban residences,sector 99a,1.13,5658.0,3,5,3,5.0,Relatively Old,1790.0,0,1,0,0,1,1,49
flat,dlf the ultima,sector 81,2.29,10926.0,3,4,3+,15.0,Relatively Old,1900.0,0,1,0,0,0,0,103
flat,breez global heights,sohna road,0.26,6599.0,1,1,1,6.0,New property,438.0,0,0,0,0,0,1,26
flat,ramsons kshitij,sector 95,0.29,5179.0,2,2,2,14.0,Relatively Old,507.0,0,0,0,0,0,1,50
house,independent,sector 1,1.85,16003.0,4,3,2,3.0,Moderate Old,1284.0,0,0,0,0,0,1,0
flat,bestech park view residency,sector 2,0.95,6709.0,2,2,3,10.0,Old property,1573.0,0,0,0,0,0,2,88
flat,brisk lumbini terrace homes,sector 109,1.5,6617.0,3,3,1,4.0,New property,2519.0,0,1,0,0,0,1,37
flat,indiabulls enigma,sector 110,4.0,9850.0,4,4,3,17.0,New property,3350.0,0,0,0,0,0,1,59
flat,global height,sohna road,0.45,6338.0,2,2,2,6.0,Relatively Old,789.0,0,0,0,0,0,0,49
flat,spectrum centre,sector 82a,0.62,9538.0,1,1,0,6.0,Relatively Old,650.0,0,0,0,0,0,1,0
flat,dlf new town heights,sector 90,1.15,5959.0,3,3,3+,9.0,Relatively Old,1747.0,0,1,0,1,0,1,88
flat,vatika gurgaon,sector 83,1.4,6629.0,3,3,2,7.0,Relatively Old,1570.0,0,0,0,0,0,2,74
house,independent,sector 57,3.15,20349.0,5,4,3+,2.0,Moderate Old,1548.0,0,0,1,0,0,2,60
flat,chd avenue,sector 71,0.98,6049.0,3,3,3,0.0,Moderate Old,1466.0,1,0,0,0,0,1,65
