property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,shri balaji apartment,sector 12,0.35,4037.0,867.0,Super Built up area 867(80.55 sq.m.)Built Up area: 737 sq.ft. (68.47 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2,2,1,1.0,North,Moderate Old,867.0,737.0,650.0,0,0,0,0,0,1,23,433.5
house,independent,sector 43,5.75,23663.0,2430.0,Plot area 270(225.75 sq.m.)Built Up area: 260 sq.yards (217.39 sq.m.)Carpet area: 220 sq.yards (183.95 sq.m.),4,4,2,4.0,North,Under Construction,,260.0,220.0,0,1,1,0,0,0,153,607.5
flat,ss the leaf,sector 85,1.12,6452.0,1736.0,Super Built up area 1741(161.74 sq.m.)Built Up area: 1485 sq.ft. (137.96 sq.m.)Carpet area: 1335 sq.ft. (124.03 sq.m.),2,2,3,10.0,East,Relatively Old,1741.0,1485.0,1335.0,0,0,0,0,1,1,49,868.0
flat,avl 36 gurgaon,sector 36a,0.75,7500.0,1000.0,Super Built up area 1000(92.9 sq.m.)Carpet area: 727 sq.ft. (67.54 sq.m.),2,2,2,5.0,North-East,Relatively Old,1000.0,,727.0,0,0,0,0,0,1,26,500.0
flat,adani aangan galleria,sector 89,0.25,5000.0,500.0,Super Built up area 500(46.45 sq.m.)Built Up area: 430 sq.ft. (39.95 sq.m.)Carpet area: 410 sq.ft. (38.09 sq.m.),1,1,1,6.0,,New property,500.0,430.0,410.0,0,0,0,0,0,1,74,500.0
house,independent,sector 4,0.67,8557.0,783.0,Plot area 87(72.74 sq.m.),3,2,1,1.0,South,Moderate Old,,783.0,,0,0,0,1,1,1,19,261.0
flat,bestech park view residency,sector 2,0.56,8629.0,649.0,Carpet area: 651 (60.48 sq.m.),1,1,2,6.0,South,Moderate Old,,,651.0,0,0,0,0,0,1,77,649.0
flat,aipl zen residences,sector 70a,1.75,10258.0,1706.0,Built Up area: 1706 (158.49 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),3,4,3+,20.0,North-East,Relatively Old,,1706.0,1050.0,0,0,0,0,1,0,49,568.6666666666666
house,independent,sector 14,4.15,18444.0,2250.0,Plot area 250(209.03 sq.m.),5,4,2,2.0,North-West,Old property,,2250.0,,0,0,0,0,0,2,51,450.0
flat,m3m merlin,sector 67,3.4,14419.0,2358.0,Super Built up area 2358(219.07 sq.m.),3,4,3,17.0,North,Relatively Old,2358.0,,,0,1,0,0,0,2,174,786.0
